step,loss_step,epoch,val_loss,loss_epoch
49,0.20267072793083368,0,,
99,0.19086425153217432,0,,
149,0.18022164633581875,0,,
199,0.19162635896251837,0,,
249,0.1785362691733907,0,,
299,0.17682747198495638,0,,
322,,0,0.1766614093003008,
322,,0,,0.1971721313562186
349,0.17461851187183836,1,,
399,0.18401385089308378,1,,
449,0.17305561648926943,1,,
499,0.16341637396727846,1,,
549,0.17305084747852106,1,,
599,0.1682184085954077,1,,
645,,1,0.16294989230080573,
645,,1,,0.1730534609793944
649,0.17078959748630496,2,,
699,0.163092835580566,2,,
