epoch,step,val_loss,loss_epoch,loss_step
0,23,913.8245239257812,,
0,23,,1030.90380859375,
1,47,917.6422729492188,,
1,47,,944.1365966796875,
2,49,,,949.8331298828125
2,71,888.090576171875,,
2,71,,922.7293090820312,
3,95,887.417236328125,,
3,95,,901.9403076171875,
4,99,,,895.8306274414062
4,119,869.8553466796875,,
4,119,,882.8150634765625,
5,143,851.4135131835938,,
5,143,,867.4160766601562,
6,149,,,836.7154541015625
6,167,851.7338256835938,,
6,167,,863.8557739257812,
7,191,833.546142578125,,
7,191,,845.5720825195312,
8,199,,,884.078125
8,215,829.3368530273438,,
8,215,,835.8328247070312,
9,239,830.4190063476562,,
9,239,,822.1829833984375,
10,249,,,825.8248901367188
10,263,826.7906494140625,,
10,263,,816.4052734375,
11,287,810.4468994140625,,
11,287,,811.989990234375,
12,299,,,793.1093139648438
12,311,815.0921020507812,,
12,311,,797.0804443359375,
13,335,803.267578125,,
13,335,,803.1030883789062,
14,349,,,843.5602416992188
14,359,812.6240844726562,,
14,359,,791.3004150390625,
15,383,807.3829956054688,,
15,383,,786.9393310546875,
16,399,,,784.6409912109375
16,407,804.7030639648438,,
16,407,,780.5712280273438,
17,431,796.5844116210938,,
17,431,,783.7142333984375,
18,449,,,736.25634765625
18,455,800.638427734375,,
18,455,,768.8838500976562,
19,479,802.0846557617188,,
19,479,,753.7005615234375,
20,499,,,778.2796020507812
20,503,778.5426635742188,,
20,503,,762.3184204101562,
21,527,774.872314453125,,
21,527,,760.1022338867188,
22,549,,,739.7941284179688
22,551,775.3411865234375,,
22,551,,747.2601928710938,
23,575,774.9030151367188,,
23,575,,750.968505859375,
24,599,,,359.22308349609375
24,599,775.2774047851562,,
24,599,,746.1386108398438,
25,623,776.0928955078125,,
25,623,,743.2720947265625,
26,647,779.1799926757812,,
26,647,,730.57568359375,
27,649,,,785.0989379882812
27,671,782.14501953125,,
27,671,,741.1796875,
28,695,777.53076171875,,
28,695,,730.2479858398438,
29,699,,,769.734375
29,719,772.8070068359375,,
29,719,,720.629150390625,
30,743,768.4652709960938,,
30,743,,716.4439697265625,
31,749,,,700.2122192382812
31,767,757.1577758789062,,
31,767,,710.3201904296875,
32,791,763.16748046875,,
32,791,,717.7831420898438,
33,799,,,723.970703125
