step,val_loss,epoch,loss_epoch,loss_step
23,935.5067749023438,0,,
23,,0,1026.4796142578125,
47,913.3220825195312,1,,
47,,1,949.1799926757812,
49,,2,,961.71044921875
71,899.8063354492188,2,,
71,,2,931.7704467773438,
95,877.2217407226562,3,,
95,,3,899.3211059570312,
99,,4,,925.3631591796875
119,871.9000244140625,4,,
119,,4,877.5083618164062,
143,877.951171875,5,,
143,,5,858.317138671875,
149,,6,,873.5470581054688
167,849.9788208007812,6,,
167,,6,850.8311767578125,
191,837.47314453125,7,,
191,,7,833.5225219726562,
199,,8,,804.5968627929688
215,839.1199340820312,8,,
215,,8,823.0728149414062,
239,833.3103637695312,9,,
239,,9,811.6469116210938,
249,,10,,850.2938232421875
263,833.0791625976562,10,,
263,,10,804.9854736328125,
287,838.7404174804688,11,,
287,,11,792.9491577148438,
299,,12,,780.6113891601562
311,835.4531860351562,12,,
311,,12,792.0324096679688,
335,825.8950805664062,13,,
335,,13,777.95263671875,
349,,14,,776.28271484375
359,829.2283935546875,14,,
359,,14,767.2630004882812,
383,836.2030029296875,15,,
383,,15,756.0699462890625,
399,,16,,681.3890991210938
407,828.77001953125,16,,
407,,16,759.0609130859375,
